1	31.12	128912	anystring	1	2000-01-01T00:00:00Z
2	2565.56	6565	example	0	2000-01-01T00:00:00Z
3	-121.122	1829812	thing	1	2000-01-01T00:00:00Z
4	55.23	523	!)@(#)!_#!	0	1990-11-01T00:00:00Z
5	-1.12	22342	(!)JAWLFJ	0	2010-11-01T00:00:00Z
6	45021.21	2121	example	0	1999-10-01T00:00:00Z
7	121.9741	23241	thing	0	2010-10-01T00:00:00Z
8	75	316	example	0	1999-10-01T10:10:00Z
9	6867.34	8916	thing	0	2010-10-01T10:10:00Z
10	31.12	128912	group_1	1	2000-01-01T00:00:00Z
11	2565.56	6565	group_1	0	2000-01-01T00:00:00Z
12	-121.122	1829812	group_1	1	2000-01-01T00:00:00Z
13	55.23	523	group_2	0	1990-11-01T00:00:00Z
14	-1.12	22342	group_2	0	2010-11-01T00:00:00Z
15	45021.21	2121	group_3	0	1999-10-01T00:00:00Z
16	121.9741	23241	group_3	0	2010-10-01T00:00:00Z
17	75	316	group_3	0	1999-10-01T10:10:00Z
18	6867.34	8916	group_4	0	2010-10-01T10:10:00Z
